,DateTime,measuring
0,1/1/2022 0:30,24.25
1,1/1/2022 1:30,19.01
2,1/1/2022 2:30,13.23
3,1/1/2022 3:30,12.07
4,1/1/2022 4:30,13.24
5,1/1/2022 5:30,14.42
6,1/1/2022 6:30,13.3
7,1/1/2022 7:30,15.44
8,1/1/2022 8:30,19.94
9,1/1/2022 9:30,11.99
10,1/1/2022 10:30,25.63
11,1/1/2022 11:30,37.62
12,1/1/2022 12:30,45.29
13,1/1/2022 13:30,49.17
14,1/1/2022 14:30,49.92
15,1/1/2022 15:30,50.15
16,1/1/2022 16:30,48.92
17,1/1/2022 17:30,47.13
18,1/1/2022 18:30,41.55
19,1/1/2022 19:30,38.28
20,1/1/2022 20:30,35
21,1/1/2022 21:30,22.11
22,1/1/2022 22:30,23.46
23,1/1/2022 23:30,30.55
24,1/2/2022 0:30,32.15
25,1/2/2022 1:30,25.2
26,1/2/2022 2:30,27.29
27,1/2/2022 3:30,29.97
28,1/2/2022 4:30,26.5
29,1/2/2022 5:30,26.12
30,1/2/2022 6:30,24.52
31,1/2/2022 7:30,28.89
32,1/2/2022 8:30,27.33
33,1/2/2022 9:30,27.34
34,1/2/2022 10:30,34.61
35,1/2/2022 11:30,49.06
36,1/2/2022 12:30,55.63
37,1/2/2022 13:30,61.07
38,1/2/2022 14:30,56.27
39,1/2/2022 15:30,47.48
40,1/2/2022 16:30,40.29
41,1/2/2022 17:30,42.98
42,1/2/2022 18:30,34.97
43,1/2/2022 19:30,39.98
44,1/2/2022 20:30,36.11
45,1/2/2022 21:30,33.85
46,1/2/2022 22:30,36.76
47,1/2/2022 23:30,36.89
48,1/3/2022 0:30,38.62
49,1/3/2022 1:30,31.66
50,1/3/2022 2:30,28.04
51,1/3/2022 3:30,22.41
52,1/3/2022 4:30,20.47
53,1/3/2022 5:30,19.08
54,1/3/2022 6:30,18.76
55,1/3/2022 7:30,24.77
56,1/3/2022 8:30,33.34
57,1/3/2022 9:30,42.74
58,1/3/2022 10:30,53.77
59,1/3/2022 11:30,58.52
60,1/3/2022 12:30,57.51
61,1/3/2022 13:30,59.47
62,1/3/2022 14:30,56.79
63,1/3/2022 15:30,48.25
64,1/3/2022 16:30,55.37
65,1/3/2022 17:30,53.57
66,1/3/2022 18:30,49.3
67,1/3/2022 19:30,46.36
68,1/3/2022 20:30,45.01
69,1/3/2022 21:30,45.52
70,1/3/2022 22:30,39.9
71,1/3/2022 23:30,39.63
72,1/4/2022 0:30,39.28
73,1/4/2022 1:30,39.22
74,1/4/2022 2:30,35.01
75,1/4/2022 3:30,31.35
76,1/4/2022 4:30,31.23
77,1/4/2022 5:30,21.96
78,1/4/2022 6:30,19.5
79,1/4/2022 7:30,13.96
80,1/4/2022 8:30,22.32
81,1/4/2022 9:30,28.19
82,1/4/2022 10:30,44.59
83,1/4/2022 11:30,46.87
84,1/4/2022 12:30,38.39
85,1/4/2022 13:30,38.41
86,1/4/2022 14:30,29.9
87,1/4/2022 15:30,28.2
88,1/4/2022 16:30,42.4
89,1/4/2022 17:30,43.6
90,1/4/2022 18:30,40.18
91,1/4/2022 19:30,33.72
92,1/4/2022 20:30,23.96
93,1/4/2022 21:30,27.45
94,1/4/2022 22:30,23.3
95,1/4/2022 23:30,24.56
96,1/5/2022 0:30,21.95
97,1/5/2022 1:30,19.08
98,1/5/2022 2:30,16.1
99,1/5/2022 3:30,15.11
100,1/5/2022 4:30,16.05
101,1/5/2022 5:30,14.09
102,1/5/2022 6:30,13.51
103,1/5/2022 7:30,14.37
104,1/5/2022 8:30,28.7
105,1/5/2022 9:30,39.22
106,1/5/2022 10:30,44.51
107,1/5/2022 11:30,44
108,1/5/2022 12:30,43.08
109,1/5/2022 13:30,40.98
110,1/5/2022 14:30,38.43
111,1/5/2022 15:30,32.94
112,1/5/2022 16:30,32.79
113,1/5/2022 17:30,33.71
114,1/5/2022 18:30,32.29
115,1/5/2022 19:30,35.73
116,1/5/2022 20:30,39.09
117,1/5/2022 21:30,30.05
118,1/5/2022 22:30,28.49
119,1/5/2022 23:30,31.39
120,1/6/2022 0:30,33.31
121,1/6/2022 1:30,35.62
122,1/6/2022 2:30,35.48
123,1/6/2022 3:30,34.38
124,1/6/2022 4:30,34.99
125,1/6/2022 5:30,32.96
126,1/6/2022 6:30,27.68
127,1/6/2022 7:30,24.88
128,1/6/2022 8:30,23.61
129,1/6/2022 9:30,20.72
130,1/6/2022 10:30,19.99
131,1/6/2022 11:30,19.06
132,1/6/2022 12:30,17.04
133,1/6/2022 13:30,21.33
134,1/6/2022 14:30,22.93
135,1/6/2022 15:30,23.08
136,1/6/2022 16:30,24.63
137,1/6/2022 17:30,22.06
138,1/6/2022 18:30,18.57
139,1/6/2022 19:30,16.85
140,1/6/2022 20:30,15.92
141,1/6/2022 21:30,12.94
142,1/6/2022 22:30,12.64
143,1/6/2022 23:30,12.82
144,1/7/2022 0:30,12.86
145,1/7/2022 1:30,13.77
146,1/7/2022 2:30,12.91
147,1/7/2022 3:30,12.65
148,1/7/2022 4:30,11.03
149,1/7/2022 5:30,9.96
150,1/7/2022 6:30,9.9
151,1/7/2022 7:30,8
152,1/7/2022 8:30,10.13
153,1/7/2022 9:30,17.95
154,1/7/2022 10:30,22.53
155,1/7/2022 11:30,23.52
156,1/7/2022 12:30,23.47
157,1/7/2022 13:30,22.76
158,1/7/2022 14:30,22.6
159,1/7/2022 15:30,22.96
160,1/7/2022 16:30,21.09
161,1/7/2022 17:30,21.66
162,1/7/2022 18:30,22.09
163,1/7/2022 19:30,20.05
164,1/7/2022 20:30,16.94
165,1/7/2022 21:30,17.79
166,1/7/2022 22:30,10.31
167,1/7/2022 23:30,10.83
168,1/8/2022 0:30,10.57
169,1/8/2022 1:30,8.94
170,1/8/2022 2:30,10.79
171,1/8/2022 3:30,8.35
172,1/8/2022 4:30,9.5
173,1/8/2022 5:30,10.4
174,1/8/2022 6:30,11.38
175,1/8/2022 7:30,10.49
176,1/8/2022 8:30,11.29
177,1/8/2022 9:30,14.89
178,1/8/2022 10:30,21.61
179,1/8/2022 11:30,22.34
180,1/8/2022 12:30,27.73
181,1/8/2022 13:30,30.7
182,1/8/2022 14:30,30.89
183,1/8/2022 15:30,28.96
184,1/8/2022 16:30,25.36
185,1/8/2022 17:30,25.45
186,1/8/2022 18:30,25.45
187,1/8/2022 19:30,23.7
188,1/8/2022 20:30,21.08
189,1/8/2022 21:30,20.6
190,1/8/2022 22:30,19.39
191,1/8/2022 23:30,16.9
192,1/9/2022 0:30,12.62
193,1/9/2022 1:30,9.93
194,1/9/2022 2:30,9.92
195,1/9/2022 3:30,11.39
196,1/9/2022 4:30,9.73
